time,open,high,low,close,tick_volume,spread,real_volume
2023-02-06 09:00:00,110540.0,110540.0,110000.0,110280.0,128,5,306
2023-02-06 10:00:00,110300.0,110680.0,109900.0,110150.0,165,5,402
2023-02-06 11:00:00,110165.0,110380.0,109700.0,110005.0,138,5,430
2023-02-06 12:00:00,110010.0,110070.0,109610.0,109965.0,100,5,371
2023-02-06 13:00:00,110060.0,110415.0,110000.0,110150.0,65,5,141
2023-02-06 14:00:00,110190.0,110290.0,110100.0,110195.0,27,5,123
2023-02-06 15:00:00,110020.0,110590.0,110000.0,110530.0,84,5,178
2023-02-06 16:00:00,110590.0,110835.0,110485.0,110625.0,57,5,68
2023-02-06 17:00:00,110555.0,110920.0,110455.0,110900.0,21,5,80
2023-02-06 18:00:00,110845.0,111060.0,110840.0,111055.0,19,5,22
2023-02-07 09:00:00,111500.0,111510.0,110935.0,110935.0,116,5,187
2023-02-07 10:00:00,110930.0,111085.0,110175.0,110800.0,150,5,250
2023-02-07 11:00:00,110695.0,110965.0,110105.0,110460.0,142,5,343
2023-02-07 12:00:00,110320.0,110320.0,109715.0,109910.0,131,5,429
2023-02-07 13:00:00,109950.0,110130.0,109835.0,109855.0,65,5,191
2023-02-07 14:00:00,109910.0,110580.0,109600.0,110570.0,139,5,394
2023-02-07 15:00:00,110450.0,110455.0,109340.0,109735.0,243,5,693
2023-02-07 16:00:00,109800.0,110275.0,109800.0,110075.0,116,5,481
2023-02-07 17:00:00,109835.0,110155.0,109820.0,109980.0,44,5,156
2023-02-07 18:00:00,109900.0,110000.0,109695.0,110000.0,53,5,214
2023-02-08 09:00:00,110060.0,111085.0,110060.0,110725.0,404,5,937
2023-02-08 10:00:00,110755.0,110970.0,110480.0,110740.0,223,5,528
2023-02-08 11:00:00,110710.0,111350.0,110365.0,111115.0,618,5,1180
2023-02-08 12:00:00,111165.0,111345.0,110660.0,110930.0,225,5,516
2023-02-08 13:00:00,110915.0,111285.0,110485.0,110905.0,156,5,425
2023-02-08 14:00:00,111075.0,111200.0,110670.0,110920.0,74,5,142
2023-02-08 15:00:00,111060.0,111825.0,111005.0,111710.0,175,5,442
2023-02-08 16:00:00,111675.0,112335.0,111610.0,112085.0,228,5,628
2023-02-08 17:00:00,112075.0,112125.0,111750.0,111870.0,136,5,251
2023-02-08 18:00:00,111925.0,112270.0,111925.0,112245.0,179,5,427
2023-02-09 09:00:00,112560.0,112710.0,111920.0,112035.0,315,5,503
2023-02-09 10:00:00,111995.0,112015.0,111445.0,112015.0,409,5,899
2023-02-09 11:00:00,112020.0,112060.0,110580.0,110635.0,488,5,1503
2023-02-09 12:00:00,110655.0,111030.0,110580.0,110860.0,179,5,552
2023-02-09 13:00:00,110655.0,110950.0,110400.0,110710.0,271,5,962
2023-02-09 14:00:00,110700.0,111285.0,110700.0,110895.0,156,5,391
2023-02-09 15:00:00,110810.0,110810.0,110235.0,110405.0,252,5,444
2023-02-09 16:00:00,110430.0,110505.0,110100.0,110165.0,217,5,518
2023-02-09 17:00:00,110160.0,110235.0,109770.0,110115.0,561,5,1552
2023-02-09 18:00:00,110250.0,110260.0,109825.0,109900.0,128,5,388
2023-02-10 09:00:00,109755.0,109755.0,108960.0,109235.0,2002,5,3061
2023-02-10 10:00:00,109215.0,110605.0,109205.0,110395.0,4639,5,5457
2023-02-10 11:00:00,110395.0,110485.0,109720.0,109895.0,4498,5,5571
2023-02-10 12:00:00,109890.0,110105.0,109630.0,109715.0,2561,5,3067
2023-02-10 13:00:00,109720.0,109930.0,109535.0,109695.0,2212,5,3041
2023-02-10 14:00:00,109680.0,109860.0,109590.0,109800.0,1452,5,2052
2023-02-10 15:00:00,109790.0,110070.0,109670.0,109790.0,1998,5,2472
2023-02-10 16:00:00,109795.0,110085.0,109745.0,110085.0,1273,5,2180
2023-02-10 17:00:00,110080.0,110285.0,109945.0,110010.0,1205,5,1419
2023-02-10 18:00:00,110010.0,110160.0,109900.0,109900.0,548,5,763
2023-02-13 09:00:00,109900.0,110000.0,109550.0,109695.0,9702,5,12051
2023-02-13 10:00:00,109715.0,109845.0,109285.0,109530.0,16211,5,21876
2023-02-13 11:00:00,109545.0,111055.0,109320.0,110985.0,16198,5,29195
2023-02-13 12:00:00,110990.0,111085.0,110675.0,110700.0,9254,5,17197
2023-02-13 13:00:00,110710.0,110935.0,110560.0,110920.0,4259,5,8041
2023-02-13 14:00:00,110910.0,111155.0,110755.0,110805.0,5451,5,11460
2023-02-13 15:00:00,110805.0,110905.0,110600.0,110795.0,5737,5,11230
2023-02-13 16:00:00,110800.0,110900.0,110525.0,110655.0,6015,5,13479
2023-02-13 17:00:00,110660.0,110815.0,110575.0,110750.0,4906,5,9846
2023-02-13 18:00:00,110740.0,110920.0,110735.0,110770.0,2788,5,4531
2023-02-14 09:00:00,110875.0,111540.0,110875.0,111220.0,22580,5,41268
2023-02-14 10:00:00,111220.0,111510.0,110315.0,110760.0,54347,5,112692
2023-02-14 11:00:00,110760.0,111135.0,110275.0,111075.0,39306,5,117256
